City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
7,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
8,Arraial Do Cabo,BR,84.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
10,Rikitea,PF,78.33,overcast clouds,-23.1203,-134.9692,Pension Maro'i
16,Kapaa,US,78.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
17,Andros Town,BS,75.2,few clouds,24.7,-77.7667,Hanks place
18,Carnarvon,AU,82.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
21,Puerto Escondido,MX,82.4,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
23,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
24,Portobelo,PA,87.01,broken clouds,9.55,-79.65,Scuba Portobelo
26,Hithadhoo,MV,82.45,heavy intensity rain,-0.6,73.0833,Scoop Guest House
31,Atuona,PF,77.54,scattered clouds,-9.8,-139.0333,Villa Enata
32,Sao Joao Da Barra,BR,80.6,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
37,Bahia Honda,CU,75.58,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
40,Vaini,TO,80.6,light rain,-21.2,-175.2,Keleti Beach Resort
45,Petit Goave,HT,82.4,light rain,18.4314,-72.8669,Imperial Suite International
46,Takoradi,GH,79.57,overcast clouds,4.8845,-1.7554,Raybow International Hotel
48,Touba,CI,80.94,clear sky,8.2833,-7.6833,Hotel de L'Amitié Vraie
50,Inirida,CO,78.19,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
52,Maxixe,MZ,75.67,overcast clouds,-23.8597,35.3472,Oceano
53,Labuhan,ID,77.85,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
60,Kayes,ML,81.9,clear sky,14.0,-11.0,
67,Lorengau,PG,83.52,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
69,Pemba,MZ,80.6,few clouds,-12.974,40.5178,Guesthouse Samotina
70,Pisco,PE,77.0,light rain,-13.7,-76.2167,Hotel San Isidro Oficial
72,Perth,AU,81.0,clear sky,-31.9333,115.8333,Parmelia Hilton Perth
84,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
87,Praia,CV,75.2,clear sky,14.9215,-23.5087,LT Aparthotel
88,Boa Vista,BR,87.8,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
93,Robore,BO,86.74,scattered clouds,-18.3333,-59.75,Hotel Las Lajas
97,San Policarpo,PH,80.24,moderate rain,12.1791,125.5072,JM Lodge
98,Port Hedland,AU,82.4,broken clouds,-20.3167,118.5667,The Esplanade Hotel
99,Honiara,SB,86.34,scattered clouds,-9.4333,159.95,Heritage Park Hotel
106,Bathsheba,BB,80.6,scattered clouds,13.2167,-59.5167,Atlantis Hotel
107,Kloulklubed,PW,75.2,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
112,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
113,Samarai,PG,85.14,heavy intensity rain,-10.6167,150.6667,Nuli Sapi
118,Bonthe,SL,79.39,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
126,Bela Vista,BR,78.76,broken clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
131,Cayenne,GF,75.2,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
133,Puerto Ayora,EC,84.2,clear sky,-0.7393,-90.3518,Castillo Galapagos
134,Cabo San Lucas,MX,81.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
136,Vao,NC,79.72,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
142,Alofi,NU,84.2,moderate rain,-19.0595,-169.9187,Taloa Heights
145,Tarakan,ID,75.2,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
146,Santa Maria,BR,89.6,scattered clouds,-29.6842,-53.8069,Hotel Morotin
148,Kirakira,SB,86.38,light rain,-10.4544,161.9205,SanBiz Lodge
154,Celestun,MX,76.1,overcast clouds,20.8667,-90.4,Posada Lilia
157,Kupang,ID,75.2,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
158,Sao Filipe,CV,75.34,clear sky,14.8961,-24.4956,Tortuga B&B
159,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
165,Agua Preta,BR,75.99,scattered clouds,-8.7075,-35.5306,Motel Paraíso
170,Tual,ID,83.37,light rain,-5.6667,132.75,Grand Vilia Hotel
