City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Meshcherino,RU,2021-01-07 21:30:43,55.1957,38.36,23.0,86,90,6.71,mist
1,Butaritari,KI,2021-01-07 21:30:43,3.0707,172.7902,81.52,83,9,20.04,light rain
2,Mataura,NZ,2021-01-07 21:30:43,-46.1927,168.8643,57.0,74,40,1.99,scattered clouds
3,Tuktoyaktuk,CA,2021-01-07 21:30:44,69.4541,-133.0374,-11.2,77,20,9.22,few clouds
4,Saint George,US,2021-01-07 21:30:44,37.1041,-113.5841,57.0,27,1,0.98,clear sky
5,Mehamn,NO,2021-01-07 21:30:44,71.0357,27.8492,26.6,63,0,12.66,clear sky
6,Beidao,CN,2021-01-07 21:30:44,34.5686,105.8933,17.46,65,10,0.49,clear sky
7,Olinda,BR,2021-01-07 21:30:44,-8.0089,-34.8553,80.6,69,40,9.22,scattered clouds
8,Arraial Do Cabo,BR,2021-01-07 21:30:45,-22.9661,-42.0278,84.2,74,0,9.22,clear sky
9,Chokurdakh,RU,2021-01-07 21:30:45,70.6333,147.9167,-12.3,90,97,7.23,overcast clouds
10,Rikitea,PF,2021-01-07 21:30:45,-23.1203,-134.9692,78.33,70,100,6.53,overcast clouds
11,Busselton,AU,2021-01-07 21:30:45,-33.65,115.3333,73.99,40,81,5.99,broken clouds
12,Egvekinot,RU,2021-01-07 21:30:46,66.3167,-179.1667,-17.63,91,88,1.61,overcast clouds
13,Bo Rai,TH,2021-01-07 21:30:46,12.5728,102.5371,74.89,71,4,7.67,clear sky
14,Thompson,CA,2021-01-07 21:29:28,55.7435,-97.8558,24.8,93,40,5.75,scattered clouds
15,Abu Samrah,SY,2021-01-07 21:30:46,35.3029,37.1841,51.89,59,7,4.76,clear sky
16,Kapaa,US,2021-01-07 21:30:47,22.0752,-159.319,78.8,73,20,9.22,few clouds
17,Andros Town,BS,2021-01-07 21:30:47,24.7,-77.7667,75.2,57,20,10.36,few clouds
18,Carnarvon,AU,2021-01-07 21:30:47,-24.8667,113.6333,82.4,69,40,11.5,scattered clouds
19,Narsaq,GL,2021-01-07 21:30:48,60.9167,-46.05,37.4,87,90,3.44,moderate rain
20,Pachino,IT,2021-01-07 21:30:48,36.7186,15.0907,60.8,67,75,6.91,broken clouds
21,Puerto Escondido,MX,2021-01-07 21:30:48,15.85,-97.0667,82.4,65,40,10.36,light rain
22,Turinskaya Sloboda,RU,2021-01-07 21:30:48,57.6232,64.3858,-0.89,89,100,10.13,overcast clouds
23,Georgetown,MY,2021-01-07 21:30:05,5.4112,100.3354,79.0,83,20,6.08,few clouds
24,Portobelo,PA,2021-01-07 21:30:49,9.55,-79.65,87.01,99,54,8.72,broken clouds
25,Antipovka,RU,2021-01-07 21:30:49,49.8299,45.3122,32.58,97,100,10.11,overcast clouds
26,Hithadhoo,MV,2021-01-07 21:30:49,-0.6,73.0833,82.45,80,100,19.3,heavy intensity rain
27,Castro,BR,2021-01-07 21:30:49,-24.7911,-50.0119,67.01,94,99,4.9,overcast clouds
28,Anadyr,RU,2021-01-07 21:30:50,64.75,177.4833,-22.0,76,0,11.18,clear sky
29,Saskylakh,RU,2021-01-07 21:30:50,71.9167,114.0833,-9.22,89,99,8.5,overcast clouds
30,San Quintin,MX,2021-01-07 21:30:50,30.4833,-115.95,67.12,49,1,8.97,clear sky
31,Atuona,PF,2021-01-07 21:30:50,-9.8,-139.0333,77.54,74,48,14.2,scattered clouds
32,Sao Joao Da Barra,BR,2021-01-07 21:29:59,-21.6403,-41.0511,80.6,74,40,9.22,scattered clouds
33,Bluff,NZ,2021-01-07 21:30:51,-46.6,168.3333,57.0,74,68,1.99,broken clouds
34,Qaanaaq,GL,2021-01-07 21:30:51,77.484,-69.3632,-17.34,70,1,7.74,clear sky
35,Ushuaia,AR,2021-01-07 21:30:51,-54.8,-68.3,60.8,39,40,11.5,scattered clouds
36,Hilo,US,2021-01-07 21:28:39,19.7297,-155.09,73.99,73,44,5.99,scattered clouds
37,Bahia Honda,CU,2021-01-07 21:30:52,22.9036,-83.1592,75.58,77,73,5.57,broken clouds
38,Bay Roberts,CA,2021-01-07 21:30:52,47.5999,-53.2648,45.0,100,90,27.63,light rain
39,Airai,TL,2021-01-07 21:30:52,-8.9266,125.4092,61.95,100,100,1.57,light rain
40,Vaini,TO,2021-01-07 21:30:52,-21.2,-175.2,80.6,89,75,9.22,light rain
41,Boende,CD,2021-01-07 21:30:53,-0.2167,20.8667,72.28,96,100,3.8,light rain
42,Luderitz,NA,2021-01-07 21:30:53,-26.6481,15.1594,70.48,54,26,18.25,scattered clouds
43,Asau,RO,2021-01-07 21:30:53,46.4333,26.4,41.0,65,20,10.36,few clouds
44,Atar,MR,2021-01-07 21:30:53,20.5169,-13.0499,70.63,34,0,1.59,clear sky
45,Petit Goave,HT,2021-01-07 21:30:53,18.4314,-72.8669,82.4,69,40,9.22,light rain
46,Takoradi,GH,2021-01-07 21:30:54,4.8845,-1.7554,79.57,86,94,8.14,overcast clouds
47,Albany,US,2021-01-07 21:29:18,42.6001,-73.9662,30.0,72,6,8.99,clear sky
48,Touba,CI,2021-01-07 21:30:54,8.2833,-7.6833,80.94,35,1,2.44,clear sky
49,Punta Arenas,CL,2021-01-07 21:30:55,-53.15,-70.9167,57.2,51,0,21.85,light rain
50,Inirida,CO,2021-01-07 21:30:55,3.8653,-67.9239,78.19,92,91,1.34,moderate rain
51,Dikson,RU,2021-01-07 21:30:55,73.5069,80.5464,15.35,97,87,13.0,overcast clouds
52,Maxixe,MZ,2021-01-07 21:30:55,-23.8597,35.3472,75.67,88,91,9.19,overcast clouds
53,Labuhan,ID,2021-01-07 21:30:56,-6.8844,112.2051,77.85,82,100,6.06,overcast clouds
54,Guerrero Negro,MX,2021-01-07 21:30:56,27.9769,-114.0611,73.17,23,0,9.6,clear sky
55,Port Elizabeth,ZA,2021-01-07 21:30:56,-33.918,25.5701,69.8,88,75,6.91,broken clouds
